Species,Common name,Maximum longevity (yrs)
perstriatus,Striped newt,12.9
viridescens,Eastern newt,25
brevipes,Tsitou newt,6.5
chinensis,Asian newt,10.3
poireti,Algerian newt,14
waltl,Iberian ribbed newt,19.5
atra,Golden alpine salamander,17
salamandra,European fire salamander,24
perspicillata,Northern spectacled salamander,unknown
granulosa,Rough-skinned newt,unknown
rivularis,Red-bellied newt,unknown
torosa,California newt,21.8
carnifex,Italian crested newt,11
cristatus,Northern crested newt,28
marmoratus,Marbled newt,25
verrucosus,Mandarin salamander,11
intermedia,Lesser siren,25.7
lacertina,Greater siren,25
mexicanus,Mexican burrowing caecilian,13.8
kohtaoensis,Yellow-striped caecilian,7.3
compressicauda,Cayenne caecilian,4.9
natans,Aquatic caecilian,unknown
intestinalis,Vase tunicate,2
cooperii,Cooper's hawk,20.3
fasciatus,Brown goshawk,14.9
gentilis,Northern goshawk,22
nisus,Eurasian sparrowhawk,20.2
novaehollandiae,Grey goshawk,unknown
striatus,Sharp-shinned hawk,19.9
monachus,Cinereous vulture,39
adalberti,Spanish imperial eagle,44.5
audax,Wedge-tailed eagle,40
chrysaetos,Golden eagle,48
fasciata,Bonelli's eagle,20
heliaca,Eastern imperical eagle,56
nipalensis,Steppe eagle,41
pomarina,Lesser spotted eagle,26.1
rapax,Tawny eagle,40.3
indicus,Grey-faced buzzard,8.5
buteo,Buzzard,28.8
jamaicensis,Red-tailed hawk,30.7
lagopus,Rough-legged hawk,18.8
lineatus,Red-shouldered hawk,22.4
platypterus,Broad-winged hawk,18.3
regalis,Ferruginous hawk,23.7
rufinus,Long-legged buzzard,unknown
solitarius,Hawaiian hawk,17
swainsoni,Swainson's hawk,24.9
anthracinus,Common black hawk,13.5
cinereus,Brown snake eagle,unknown
gallicus,Short-toed eagle,17.3
aeruginosus,Western marsh harrier,20.1
approximans,Swamp harrier,11
cyaneus,Northern harrier,17.1
macrourus,Pallid harrier,13.5
pygargus,Montagu's harrier,16.3
axillaris,Black-shouldered kite,3.5
caeruleus,Black-winged kite,6
leucurus,White-tailed kite,6
melanoleucus,Black-chested buzzard-eagle,42
barbatus,Bearded vulture,40
angolensis,Palm-nut vulture,27.1
africanus,White-backed vulture,19.7
bengalensis,"White-rumped vulture, or Bengal vulture",unknown
coprotheres,Cape vulture,31.2
fulvus,"Griffon vulture, or Eurasian griffon",41.4
albicilla,White-tailed sea-eagle,42
leucocephalus,Bald eagle,48
indus,Brahminy kite,24.5
sphenurus,Whistling kite,20.4
harpyja,Harpy eagle,16.8
novaeguineae,New Guinea eagle,30
morphnoides,Little eagle,38.7
mississippiensis,Mississippi kite,11.2
monogrammicus,Lizard buzzard,8.6
isura,Square-tailed kite,17
migrans,Black kite,24
milvus,Red kite,38
monachus,Hooded vulture,21.3
percnopterus,Egyptian vulture,37
unicinctus,Harris's hawk,25
apivorus,"European honey buzzard, or Western honey-buzzard",29
jefferyi,Philippine eagle,41
sociabilis,Snail kite,17
ecaudatus,Bateleur,55
tracheliotus,Lappet-faced vulture,23.9
occipitalis,White-headed vulture,5.7
aura,Turkey vulture,20.8
atratus,Black vulture,25.5
californianus,California condor,45
