Species,Common name,Maximum longevity (yrs)
coronoides,Australian raven,22.5
cryptoleucus,Chihuahuan raven,21.8
frugilegus,Rook,23.8
hawaiiensis,Hawaiian crow,25
mellori,Little raven,19.8
orru,Torresian crow,unknown
ossifragus,Fish crow,14.5
cristata,Blue jay,26.2
stelleri,Steller's jay,16.1
caeruleus,Azure jay,36
yncas,Green jay,unknown
glandarius,Eurasian jay,17.9
cyanocephalus,Pinyon jay,14.6
caryocatactes,Spotted nutcracker,19.9
columbiana,Clark's nutcracker,17.4
canadensis,Gray jay,19.2
infaustus,Siberian jay,17.9
hudsonia,Black-billed magpie,20
nuttalli,Yellow-billed magpie,10
pica,Eurasian magpie,21.7
graculus,Alpine chough,24.4
pyrrhocorax,Red-billed chough,20.3
rupicola,Guianan cock-of-the-rock,7
nigrogularis,Pied butcherbird,22.2
quoyi,Black butcherbird,unknown
torquatus,Grey butcherbird,20.2
fuliginosa,Black currawong,24
graculina,Pied currawong,24.2
versicolor,Grey currawong,19.6
brachypterus,Eastern bristlebird,4.8
hirundinaceum,Mistletoebird,9.7
bracteatus,Spangled drongo,7.9
bairdii,Baird's sparrow,unknown
caudacutus,Saltmarsh sharp-tailed sparrow,10
henslowii,Henslow's sparrow,6.5
leconteii,Le Conte's sparrow,4.1
maritimus,Seaside sparrow,9
nelsoni,Nelson's sharp-tailed sparrow,7.1
aureola,Yellow-breasted bunting,7
calandra,Corn bunting,10.6
cirlus,Cirl bunting,6.1
citrinella,Yellowhammer,13.2
hortulana,Ortolan bunting,6.8
melanocephala,Black-headed bunting,11
schoeniclus,Reed bunting,12.2
gouldiae,Gouldian finch,6
trichroa,Blue-faced parrot-finch,unknown
castaneothorax,Chestnut-breasted munia,unknown
oryzivora,Java sparrow,unknown
striata,White-rumped munia,10
phaeton,Crimson finch,5.8
ruficauda,Star finch,3.4
temporalis,Red-browed finch,23.4
acuticauda,Long-tailed finch,6
cincta,Black-throated finch,unknown
personata,Masked finch,6.9
bella,Beautiful firetail,4.5
guttata,Diamond firetail,5.4
oculata,Red-eared firetail,5.2
bichenovii,Double-barred finch,5.4
guttata,Zebra finch,12
flammea,Common redpoll,12.2
hornemanni,Hoary redpoll,6.8
carduelis,European goldfinch,27
citrinella,Citril finch,unknown
erythrinus,Common rosefinch,9
chloris,European greenfinch,13.6
stejnegeri,Kauai amakihi,9
virens,Hawaii amakihi,12
coccothraustes,Hawfinch,12.6
coelebs,Chaffinch,29
montifringilla,Brambling,14.8
cassinii,Cassin's finch,7
mexicanus,House finch,11.6
purpureus,Purple finch,14
wilsoni,Akiapolaau,13
vespertina,Evening grosbeak,17
sanguinea,Apapane,11
atrata,Black rosy-finch,8.6
australis,Brown-capped rosy finch,5.9
tephrocotis,Gray-crowned rosy-finch,6.6
cannabina,Eurasian linnet,9.4
flavirostris,Twite,6.1
curvirostra,Red crossbill,16.1
leucoptera,White-winged crossbill,4
bailleui,Palila,13
coccineus,Akepa,10
parva,Anianiau,9.5
phaeosoma,Poo-uli,9.2
dolei,"Akohekohe, or Crested honeycreeper",9.2
montana,Maui alauahio,unknown
enucleator,Pine grosbeak,9.8
pyrrhula,Eurasian bullfinch,17.5
canaria,House canary,24
serinus,European serin,unknown
pinus,Pine siskin,11
psaltria,Lesser goldfinch,5.7
spinus,Eurasian siskin,13.5
tristis,American goldfinch,13
cantans,Laysan finch,12
ultima,Nihoa finch,12
coccinea,Iiwi,8.8
anabatina,Tawny-winged woodcreeper,11
melanorhynchus,Black-billed treehunter,10
daurica,Red-rumped swallow,9
urbicum,Common house-martin and northern house-martin,15
neoxena,Welcome swallow,11.5
rustica,Barn swallow,16
ariel,Fairy martin,5.3
fulva,Cave swallow,12.2
nigricans,Tree martin,6.1
pyrrhonota,Cliff swallow,11.8
subis,Purple martin,13.8
riparia,Bank swallow,10.1
ruficollis,Southern rough-winged swallow,5.9
serripennis,Northern rough-winged swallow,5.9
bicolor,Tree swallow,12.1
thalassina,Violet-green swallow,9.1
phoeniceus,Red-winged blackbird,20
tricolor,Tricolored blackbird,13.2
xanthomus,Yellow-shouldered blackbird,12.6
oryzivorus,Bobolink,9
carolinus,Rusty blackbird,8.8
cyanocephalus,Brewer's blackbird,12.5
bullockii,Bullock's oriole,8.9
cucullatus,Hooded oriole,6
galbula,Baltimore oriole,14
leucopteryx,Jamaican oriole,12.2
parisorum,Scott's oriole,6.4
pectoralis,Spot-breasted oriole,11.6
spurius,Orchard oriole,17.7
aeneus,Bronzed cowbird,unknown
ater,Brown-headed cowbird,16.9
major,Boat-tailed grackle,13.9
mexicanus,Great-tailed grackle,12.5
quiscula,Common grackle,23.1
magna,Eastern meadowlark,12.6
neglecta,Western meadowlark,10
xanthocephalus,Yellow-headed blackbird,18
collurio,Red-backed shrike,10.1
excubitor,Northern shrike,12
ludovicianus,Loggerhead shrike,12.5
senator,Woodchat shrike,5.7
lutea,Red-billed leiothrix,15
squamiceps,Arabian babbler,13.5
striata,Bengal jungle babbler,16.5
fluviatilis,River warbler,6.9
luscinioides,Savi's warbler,9.8
naevia,Common grasshopper-warbler,5.9
gramineus,Little grassbird,3.3
timoriensis,Tawny grassbird,3.2
flaviventer,Yellow-breasted boatbill,12
barbatus,Grey grasswren,3
amabilis,Lovely fairywren,12
coronatus,Purple-crowned fairywren,5.5
cyaneus,Superb fairywren,10.5
elegans,Red-winged fairywren,10
lamberti,Variegated fairywren,11
leucopterus,White-winged fairywren,6
melanocephalus,Red-backed fairywren,7.7
pulcherrimus,Blue-breasted fairywren,6.4
splendens,Splendid fairywren,11
malachurus,Southern emu-wren,3.7
rufogularis,Spiny-cheeked honeyeater,13.6
superciliosus,Western spinebill,10.7
tenuirostris,Eastern spinebill,15.5
carunculata,Red wattlebird,13.3
chrysoptera,Little wattlebird,7.1
lunulata,Western wattlebird,11.5
paradoxa,Yellow wattlebird,9.8
albogularis,Rufous-banded honeyeater,3.7
rufogularis,Rufous-throated honeyeater,9.8
cyanotis,Blue-faced honeyeater,9.1
chrysops,Yellow-faced honeyeater,12.6
cratitius,Purple-gaped honeyeater,13.7
fasciogularis,Mangrove honeyeater,4.5
flavescens,Yellow-tinted honeyeater,6.5
flavicollis,Yellow-throated honeyeater,5
flavus,Yellow honeyeater,4.2
frenatus,Bridled honeyeater,4.9
fuscus,Fuscous honeyeater,17.6
leucotis,White-eared honeyeater,12.8
melanops,Yellow-tufted honeyeater,15.3
ornatus,Yellow-plumed honeyeater,9.1
penicillatus,White-plumed honeyeater,15.9
unicolor,White-gaped honeyeater,12.2
virescens,Singing honeyeater,10.5
indistincta,Brown honeyeater,13.2
flavigula,Yellow-throated miner,12.1
melanocephala,Noisy miner,12.4
melanophrys,Bell miner,13.6
gracilis,Graceful honeyeater,12
lewinii,Lewin's honeyeater,15.9
notata,Yellow-spotted honeyeater,11.2
affinis,Black-headed honeyeater,8.7
albogularis,White-throated honeyeater,10.5
brevirostris,Brown-headed honeyeater,12.2
gularis,Black-chinned honeyeater,10
lunatus,White-naped honeyeater,12.3
validirostris,Strong-billed honeyeater,5.4
erythrocephala,Red-headed myzomela,7.1
obscura,Dusky myzomela,12
sanguinolenta,Scarlet myzomela,10
argenticeps,Silver-crowned friarbird,unknown
buceroides,Helmeted friarbird,unknown
citreogularis,Little friarbird,10.6
corniculatus,Noisy friarbird,9.8
niger,White-cheeked honeyeater,11.6
novaehollandiae,New holland honeyeater,22.9
pyrrhopterus,Crescent honeyeater,9.9
lanceolata,Striped honeyeater,4.4
flaviventer,Tawny-breasted honeyeater,9
macleayanus,Macleay's honeyeater,8
novaehollandiae,Superb lyrebird,17.9
carolinensis,Gray catbird,17.9
fuscatus,Pearly-eyed thrasher,17
polyglottos,Northern mockingbird,20
bendirei,Bendire's thrasher,9.5
crissale,Crissal thrasher,4.8
curvirostre,Curve-billed thrasher,10.8
lecontei,Le conte's thrasher,5.7
longirostre,Long-billed thrasher,7.8
redivivum,California thrasher,6.9
rufum,Brown thrasher,12.8
kaupi,Pied monarch,4
sandwichensis,Elepaio,17.8
cyanoleuca,Magpielark,12.1
melanopsis,Black-faced monarch,5.2
alecto,Shining flycatcher,5.2
rubecula,Leaden flycatcher,6.2
ruficollis,Broad-billed flycatcher,8.6
cervinus,Red-throated pipit,4.5
petrosus,Rock pipit,10.9
pratensis,Meadow pipit,13.1
rubescens,American pipit,5.1
spinoletta,Water pipit,8.8
trivialis,Tree pipit,8.8
alba,White wagtail,13.7
cinerea,Grey wagtail,8
flava,Yellow wagtail,8.8
malabaricus,White-rumped shama,7
rubecula,European robin,19.3
galactotes,Rufous-tailed scrub-robin,7
albicollis,Collared flycatcher,9.8
hypoleuca,European pied flycatcher,15
luscinia,Thrush nightingale,8.9
megarhynchos,Common nightingale,10.9
svecica,Bluethroat,11.4
striata,Spotted flycatcher,11.8
hispanica,Black-eared wheatear,4.9
oenanthe,Northern wheatear,10.1
ochruros,Black redstart,10.2
phoenicurus,Common redstart,10.2
rubetra,Whinchat,6.9
torquatus,Common stonechat and stonechat,8.8
asiaticus,Purple sunbird,22
chrysoptera,Varied sittella,6.9
speculiferus,Puerto Rican tanager,4
gutturalis,Crested bellbird,5
chinensis,Black-naped oriole,29
oriolus,Eurasian golden-oriole,14.8
sagittatus,Olive-backed oriole,7.1
xanthornus,Black-hooded oriole,15.5
viridis,Green figbird (hang-nest),18
spaldingii,Chowchilla,16.5
temminckii,Australian logrunner,unknown
boweri,Bower's shrikethrush,unknown
harmonica,Grey shrikethrush,14.8
megarhyncha,Little shrikethrush,19.3
frontatus,Crested shriketit,11.9
inornata,Gilbert's whistler,11
lanioides,White-breasted whistler,15.7
melanura,Mangrove golden whistler,unknown
olivacea,Olive whistler,7.8
pectoralis,Australian golden whistler,18
rufiventris,Rufous whistler,15.2
simplex,Grey whistler,9.7
biarmicus,Bearded parrotbill,7.1
apoda,Greater bird-of-paradise,12.1
magnificus,Magnificent riflebird,12
victoriae,Victoria's riflebird,8.9
punctatus,Spotted pardalote,4
quadragintus,Forty-spotted pardalote,3.5
striatus,Striated pardalote,6
bicolor,Tufted titmouse,13.3
inornatus,"Plain titmouse, or Oak titmouse",9
wollweberi,Bridled titmouse,6.6
caeruleus,Blue tit,14.6
cristatus,Crested tit,11.6
major,Great tit,15.4
ater,Coal tit,9.5
atricapillus,Black-capped chickadee,12.4
carolinensis,Carolina chickadee,10.9
cinctus,"Siberian tit, or Gray-headed chickadee",9
gambeli,Mountain chickadee,10.1
hudsonicus,Boreal chickadee,7
montanus,Willow tit,11.3
palustris,Marsh tit,13.2
rufescens,Chestnut-backed chickadee,9.5
sclateri,Mexican chickadee,10.1
canadensis,Canada warbler,8
pusilla,Wilson's warbler,8.9
rubrifrons,Red-faced warbler,3
formosa,Kentucky warbler,6.9
philadelphia,Mourning warbler,7.9
tolmiei,Macgillivray's warbler,9
trichas,Common yellowthroat,11.5
vermivorum,Worm-eating warbler,8.1
virens,Yellow-breasted chat,8.9
celata,Orange-crowned warbler,8.6
luciae,Lucy's warbler,5.8
peregrina,Tennessee warbler,6.4
ruficapilla,Nashville warbler,10.2
virginiae,Virginia's warbler,6.2
swainsonii,Swainson's warbler,9.9
varia,Black-and-white warbler,12.2
pictus,Painted redstart,6.6
motacilla,Louisiana waterthrush,11.9
noveboracensis,Northern waterthrush,8.9
citrea,Prothonotary warbler,8.1
aurocapilla,Ovenbird,11
adelaidae,Adelaide's warbler,10.6
americana,Northern parula,7
caerulescens,Black-throated blue warbler,10
castanea,Bay-breasted warbler,4.9
cerulea,Cerulean warbler,6
chrysoparia,Golden-cheeked warbler,11
citrina,Hooded warbler,8.2
coronata,Yellow-rumped (myrtle) warbler,10
discolor,Prairie warbler,10.3
dominica,Yellow-throated warbler,6.1
fusca,Blackburnian warbler,8.2
kirtlandii,Kirtland's warbler,9
magnolia,Magnolia warbler,8
occidentalis,Hermit warbler,9.1
palmarum,"Palm warbler, or Western palm warbler",6.6
pensylvanica,Chestnut-sided warbler,6.9
petechia,Yellow warbler,11
pinus,Pine warbler,10.2
ruticilla,American redstart,10.1
striata,Blackpoll warbler,8.1
tigrina,Cape May warbler,unknown
townsendi,Townsend's warbler,10.7
virens,Black-throated green warbler,6
chrysoptera,Golden-winged warbler,7.9
cyanoptera,Blue-winged warbler,9
ruficeps,Rufous-crowned sparrow,5.1
savannarum,Grasshopper sparrow,9.1
bilineata,Black-throated sparrow,6
rufivirgatus,Olive sparrow,8.2
belli,Sage sparrow,9.1
melanocorys,Lark bunting,4.8
grammacus,Lark sparrow,7.8
hyemalis,Dark-eyed junco,11.3
phaeonotus,Yellow-eyed junco,6.6
georgiana,Swamp sparrow,7.8
lincolnii,Lincoln's sparrow,7.6
melodia,Song sparrow,11.3
aberti,Abert's towhee,8.6
crissalis,California towhee,12.8
fusca,Canyon towhee,12.8
sandwichensis,Savannah sparrow,18
iliaca,Fox sparrow,10.3
aestivalis,Bachman's sparrow,3.9
chlorurus,Green-tailed towhee,7.7
erythrophthalmus,Eastern towhee,12.3
maculatus,Spotted towhee,11
gramineus,Vesper sparrow,7.9
breweri,Brewer's sparrow,6.2
pallida,Clay-colored sparrow,6.9
passerina,Chipping sparrow,11.8
pusilla,Field sparrow,10.3
arborea,American tree sparrow,10.8
albicollis,White-throated sparrow,14.9
atricapilla,Golden-crowned sparrow,10.5
leucophrys,White-crowned sparrow,13.3
querula,Harris's sparrow,11.7
domesticus,House sparrow,23
hispaniolensis,Spanish sparrow,11.2
moabiticus,Dead Sea sparrow,unknown
montanus,Eurasian tree sparrow,13.1
petronia,Rock sparrow,7
brunneopygia,Southern scrub robin,9.7
australis,Eastern yellow robin,14.7
georgiana,White-breasted robin,18.3
griseogularis,Western yellow robin,8.8
cucullata,Hooded robin,9.6
vittata,Dusky robin,4.7
fascinans,Jacky winter,5.3
flavigaster,Lemon-bellied flyrobin,4.1
goodenovii,Red-capped robin,5.5
phoenicea,Flame robin,10.9
rodinogaster,Pink robin,unknown
rosea,Rose robin,6.1
superciliosa,White-browed robin,9
capito,Pale-yellow robin,13.2
leucops,White-faced robin,18
borealis,Arctic warbler,unknown
collybita,"Common chiffchaff, or Eurasian chiffchaff",8
sibillatrix,Wood warbler,10.2
trochilus,Willow warbler,11.8
pareola,Blue-backed manakin,14
manacus,White-bearded manakin,14
versicolor,Noisy pitta,6
albirostris,"White-billed buffalo weaver, or African ox birds",20
cucullatus,Village weaver,24
quelea,Red-billed quelea,10
caerulea,Blue-grey gnatcatcher,4.2
californica,California gnatcatcher,8
halli,Hall's babbler,3.9
ruficeps,Chestnut-crowned babbler,8.3
superciliosus,White-browed babbler,14.4
temporalis,Grey-crowned babbler,13.3
collaris,Alpine accentor,7.7
modularis,Hedge sparrow,20.8
olivaceus,Eastern whipbird,12.3
crassirostris,Green catbird,14.9
melanotis,Spotted catbird,10.4
violaceus,Satin bowerbird,25.1
dentirostris,Tooth-billed bowerbird,22
chrysocephalus,Regent bowerbird,17.2
jocosus,Red-whiskered bulbul,11.1
xanthopygos,White-spectacled bulbul,8.8
calendula,Ruby-crowned kinglet,5.6
regulus,Goldcrest,7
satrapa,Golden-crowned kinglet,6.3
flaviceps,Verdin,5.6
pendulinus,Eurasian penduline-tit,7.2
leucophrys,Willie wagtail,9.4
phasiana,Mangrove fantail,unknown
rufifrons,Rufous fantail,9.1
rufiventris,Northern fantail,unknown
canadensis,Red-breasted nuthatch,7.5
carolinensis,White-breasted nuthatch,9.8
europaea,"Wood nuthatch, or Eurasian nuthatch",12.9
pusilla,Brown-headed nuthatch,5.8
pygmaea,Pygmy nuthatch,8.2
cristatellus,Crested myna,13
caudatus,Long-tailed glossy starling,17.8
hildebrandti,Hildebrandt's starling,16.9
superbus,Superb starling,25
rothschildi,Bali mynah,25
vulgaris,European starling,22.9
fasciata,Wrentit,12.6
atricapilla,Blackcap,13.8
borin,Garden warbler,24
communis,"Common whitethroat, or Whitethroat",9
curruca,Lesser whitethroat,9
melanocephala,Sardinian warbler,8.3
nisoria,Barred warbler,11.9
tyrannina,Dusky antbird,13
acutirostris,Marsh antwren,16.2
naevioides,Spotted antbird,14
parvulus,Small tree finch,15
pauper,Medium tree finch,12
flaveola,Bananaquit,8.6
caeruleus,Purple honeycreeper,17
penicillata,Gray-headed tanager,10
fuliginosa,Small ground finch,15
portoricensis,Puerto rican bullfinch,15.6
torqueola,White-collared seedeater,11.7
episcopus,Blue-grey tanager,9.5
brunneicapillus,Cactus wren,7.3
leucotis,Buff-breasted wren,15
bewickii,Bewick's wren,8
ludovicianus,Carolina wren,9.2
aedon,House wren,9
troglodytes,Winter wren,7
bicknelli,Bicknell's thrush,11.9
fuscescens,Veery,10.1
guttatus,Hermit thrush,10.8
minimus,Grey-cheeked thrush,7.3
ustulatus,Swainson's thrush,11
mustelina,Wood thrush,10.2
naevius,Varied thrush,5.6
currucoides,Mountain bluebird,9
mexicana,Western bluebird,8.7
sialis,Eastern bluebird,10.5
grayi,Clay-colored robin,9.6
iliacus,Redwing,18.8
merula,"Common blackbird, or Eurasian blackbird",21.8
migratorius,American robin,17
philomelos,Song thrush,17.7
pilaris,Fieldfare,18.1
plumbeus,Red-legged thrush,14.6
torquatus,Ring ouzel,9.1
viscivorus,Mistle thrush,21.2
heinei,Russet-tailed thrush,1
lunulata,Bassian thrush,0.6
imberbe,Northern beardless tyrannulet,5.8
cooperi,Olive-sided flycatcher,11.1
sordidulus,Western wood pewee,8.1
virens,Eastern wood pewee,8.2
martinica,Caribbean elaenia,13.6
alnorum,Alder flycatcher,9.1
difficilis,Pacific-slope flycatcher,6.9
flaviventris,Yellow-bellied flycatcher,unknown
hammondii,Hammond's flycatcher,7
minimus,Least flycatcher,8
oberholseri,Dusky flycatcher,9
traillii,Willow flycatcher,11
virescens,Acadian flycatcher,12.1
antillarum,Puerto rican flycatcher,13.6
apicalis,Apical flycatcher,6
cinerascens,Ash-throated flycatcher,11.9
crinitus,Great crested flycatcher,14.9
tyrannulus,Brown-crested flycatcher,11
rubinus,Vermilion flycatcher,5.5
nigricans,Black phoebe,8
phoebe,Eastern phoebe,10.3
saya,Say's phoebe,unknown
tyrannus,Eastern kingbird,11.1
verticalis,Western kingbird,6.9
atricapilla,Black-capped vireo,12
bellii,Bell's vireo,9.1
flavifrons,Yellow-throated vireo,6.1
gilvus,Warbling vireo,13.1
griseus,White-eyed vireo,10.9
huttoni,Hutton's vireo,13.5
latimeri,Puerto rican vireo,16.8
olivaceus,Red-eyed vireo,10.2
philadelphicus,Philadelphia vireo,9.8
solitarius,Blue-headed vireo,7.4
vicinior,Grey vireo,unknown
japonicus,Japanese white-eye,5.1
lateralis,Silvereye,18.7
luteus,Canary white-eye,8.7
alba,Great egret,22.8
cinerea,Grey heron,37.5
cocoi,Cocoi heron,24.4
goliath,Goliath heron,22.9
herodias,Great blue heron,24.5
purpurea,Purple heron,25.4
lentiginosus,American bittern,8.3
stellaris,"Eurasian bittern, or Bittern",11.3
ibis,Cattle egret,23
virescens,Green heron,11.6
caerulea,Little blue heron,13.9
garzetta,Little egret,22.3
novaehollandiae,White-faced heron,unknown
rufescens,Reddish egret,22
sacra,Pacific reef heron,15
thula,Snowy egret,22.8
tricolor,Tricolored heron,17.7
minutus,Little bittern,7.8
caledonicus,Nankeen night heron,unknown
nycticorax,Black-crowned night heron,21.1
rex,Shoebill,35.7
conspicillatus,Australian pelican,26.1
crispus,Dalmatian pelican,35.3
erythrorhynchos,American white pelican,54
occidentalis,Brown pelican,43
onocrotalus,Great white pelican,51
carunculata,Wattled ibis,12
hagedash,Hadada ibis,16
rara,Spot-breasted ibis,unknown
albus,White ibis,27.6
ruber,Scarlet ibis,33.2
calvus,"Southern bald ibis, or Bald ibis",15.3
eremita,Northern bald ibis,32.9
nippon,Crested ibis,25.8
infuscatus,Whispering ibis,20
ajaja,Roseate spoonbill,28
alba,African spoonbill,17.9
flavipes,Yellow-billed spoonbill,28.6
leucorodia,Eurasian spoonbill,30.1
minor,Black-faced spoonbill,15
regia,Royal spoonbill,36.2
chihi,White-faced ibis,20.4
falcinellus,Glossy ibis,26.8
ridgwayi,Puna ibis,18
papillosa,Black ibis,30
caerulescens,Plumbeous ibis,unknown
caudatus,Buff-necked ibis,22
melanopis,Black-faced ibis,34.5
aethiopicus,Sacred ibis,37
melanocephalus,Black-headed ibis,28.2
molucca,"Australian white ibis, or Australian ibis",33.2
spinicollis,Straw-necked ibis,39.4
aethereus,Red-billed tropicbird,17.6
rubricauda,Red-tailed tropicbird,32.7
minor,Lesser flamingo,41
chilensis,Chilean flamingo,36.7
roseus,Greater flamingo,58.8
ruber,American flamingo,unknown
auratus,Northern flicker,12.5
leucotos,White-backed woodpecker,15.9
major,Great spotted woodpecker,12.7
medius,Middle spotted woodpecker,9.3
minor,Lesser spotted woodpecker,9.8
syriacus,Syrian woodpecker,10.9
martius,Black woodpecker,14
pileatus,Pileated woodpecker,13
torquilla,Eurasian wryneck,10
aurifrons,Golden-fronted woodpecker,unknown
carolinus,Red-bellied woodpecker,20.7
erythrocephalus,Red-headed woodpecker,10
formicivorus,Acorn woodpecker,17.2
uropygialis,Gila woodpecker,11
borealis,Red-cockaded woodpecker,16.1
nuttallii,Nuttall's woodpecker,7.8
pubescens,Downy woodpecker,11.9
scalaris,Ladder-backed woodpecker,unknown
tridactylus,"Eurasian three-toed woodpecker, or Three-toed woodpecker",11.2
villosus,Hairy woodpecker,15.9
canus,"Grey-faced woodpecker, or Grey-headed woodpecker",unknown
viridis,Eurasian green woodpecker,15.2
nuchalis,Red-naped sapsucker,4.9
ruber,Red-breasted sapsucker,4.8
varius,Yellow-bellied sapsucker,7.8
toco,Toco toucan,16.2
occidentalis,Western grebe,14
auritus,Horned grebe,unknown
cristatus,Great crested grebe,19.2
grisegena,Red-necked grebe,11
nigricollis,Eared grebe,13.1
podiceps,Pied-billed grebe,unknown
ruficollis,Little grebe,17.5
antipodensis,Antipodean albatross,30.3
epomophora,Royal albatross,58
exulans,Wandering albatross,50
albatrus,Short-tailed albatross,unknown
immutabilis,Laysan albatross,70
irrorata,Waved albatross,40
nigripes,Black-footed albatross,42.1
palpebrata,Light-mantled albatross,28.1
carteri,Indian yellow-nosed albatross,27.7
cauta,Shy albatross,30.9
chlororhynchos,Yellow-nosed albatross,37
chrysostoma,Grey-headed albatross,47.2
impavida,Campbell albatross,34.2
melanophris,Black-browed albatross,43.7
pelagicus,European storm petrel,33.8
castro,Harcourt's storm petrel,36
furcata,Fork-tailed storm petrel,18
homochroa,Ashy storm-petrel,31
leucorhoa,Leach's storm petrel,36
tristrami,Sooty storm petrel,unknown
marina,White-faced storm-petrel,19.8
bulwerii,Bulwer's petrel,22.9
diomedea,Cory's shearwater,24.8
capense,Cape petrel,28.5
glacialis,Northern fulmar,51
glacialoides,Southern fulmar,45
giganteus,Southern giant petrel,47
halli,Northern giant petrel,35.4
turtur,Fairy prion,16.5
nivea,Snow petrel,46
parkinsoni,Black petrel,17
alba,Phoenix petrel,11.3
arminjoniana,Trindade petrel,21.8
hypoleuca,"Bonin petrel, or Bonin Island petrel",30.8
leucoptera,Gould's petrel,32.7
macroptera,Great-winged petrel,14.9
phaeopygia,"Galapagos petrel, or Darked-rump petrel",unknown
sandwichensis,Hawaiian petrel,13.1
solandri,Providence petrel,16.6
carneipes,Flesh-footed shearwater,30.2
griseus,Sooty shearwater,34
lherminieri,Audubon's shearwater,unknown
mauretanicus,Balearic shearwater,unknown
nativitatis,Christmas Island shearwater,unknown
pacificus,Wedge-tailed shearwater,29
puffinus,Manx shearwater,50.9
tenuirostris,Short-tailed shearwater,39.9
antarctica,Antarctic petrel,15
fischeri,Fischer's lovebird,12.6
lilianae,Nyasa loverbird,19.2
pullarius,Red-headed lovebird,18
roseicollis,Rosy-faced lovebird,unknown
taranta,Black-winged lovebird,14.6
scapularis,Australian king parrot,26.6
aestiva,Blue-fronted amazon,49
albifrons,White-fronted parrot,25.3
amazonica,Orange-winged amazon,30
auropalliata,Yellow-naped parrot,49
autumnalis,Red-lored parrot,27
barbadensis,Yellow-shouldered amazon,unknown
farinosa,Mealy parrot,unknown
festiva,Festive amazon,24.5
finschi,Lilac-crowned parrot,25.8
guildingii,St. Vincent parrot,28
leucocephala,Cuban parrot,unknown
ochrocephala,Yellow-crowned parrot,56
oratrix,Yellow-headed parrot,unknown
rhodocorytha,Red-browed parrot,44
versicolor,St. Lucia amazon,unknown
viridigenalis,Red-crowned parrot,unknown
vittata,Puerto Rican amazon,unknown
glaucus,Glaucous macaw,unknown
hyacinthinus,Hyacinth macaw,38.8
leari,Lear's macaw,38.3
erythropterus,Red-winged parrot,24.4
ambiguus,Great green macaw,29
ararauna,Blue-and-yellow macaw,43
chloropterus,Red-and-green macaw,50.1
glaucogularis,Blue-throated macaw,22
macao,Scarlet macaw,33
militaris,Military macaw,46
rubrogenys,Red-fronted macaw,23
severus,Chestnut-fronted macaw,28.5
acuticaudata,Blue-crowned parakeet,31
auricapillus,Golden-capped parakeet,20.9
canicularis,Orange-fronted parakeet,16.2
chloroptera,Hispaniolan parakeet,unknown
erythrogenys,Red-masked parakeet,26.2
holochlora,Green parakeet,21.8
zonarius,Port Lincoln ringneck,17.9
orbygnesius,Andean parakeet,9.2
chiriri,Yellow-chevroned parakeet,19
pyrrhoptera,Grey-cheeked parakeet,11.3
sanctithomae,Tui parakeet,13.2
tirica,Plain parakeet,11
versicolurus,Canary-winged parakeet,10.3
alba,White cockatoo,26.9
ducorpsii,Ducorps's cockatoo,30.5
galerita,Sulphur-crested cockatoo,57
goffiniana,Tanimbar cockatoo,26
haematuropygia,Philippine cockatoo,17.3
leadbeateri,Pink cockatoo,83
moluccensis,Salmon-crested cockatoo,65.8
ophthalmica,Blue-eyed cockatoo,31.9
pastinator,Western corella,26.3
sanguinea,Little corella,46.9
sulphurea,Yellow-crested cockatoo,49.7
tenuirostris,Long-billed corella,43
fimbriatum,Gang-gang cockatoo,27.5
banksii,Banksian cockatoo,45.4
baudinii,Long-billed black cockatoo,47
funereus,Yellow-tailed black cockatoo,41
lathami,Glossy black cockatoo,unknown
latirostris,Short-billed black cockatoo,34.4
atra,Black lory,17.5
sintillata,Yellow-streaked lory,19.7
papou,Papuan lorikeet,11.3
carolinensis,Carolina parakeet,30
nigra,Black parrot,34.1
vasa,Vasa parrot,53.9
patagonus,Patagonian conure,19.5
spixii,Spix's macaw,27
auriceps,Yellow-fronted parakeet,9.3
novaezelandiae,Red-fronted parakeet,12.4
accipitrinus,Red-fan parrot,21.8
nobilis,Red-shouldered macaw,22.9
roratus,Eclectus parrot,28.5
leptorhynchus,Slender-billed parakeet,15.3
roseicapilla,Galah,40
bornea,Red lory,24.7
cyanogenia,Black-winged lory,18.1
histrio,Red-and-blue lory,15.2
reticulata,Blue-streaked lory,16.6
squamata,Violet-necked lory,16.5
cornutus,Horned parakeet,19.7
coelestis,Pacific parrotlet,10.4
cyanopygius,Mexican parrotlet,10.5
passerinus,Green-rumped parrotlet,11.6
xanthops,Yellow-faced parrotlet,10.5
concinna,Musk lorikeet,21.3
porphyrocephala,Purple-crowned lorikeet,12
brachyurus,Short-tailed parrot,13.2
guarouba,Golden conure,23.2
galgulus,Blue-crowned hanging parrot,14.3
philippensis,Colasisi,10.1
vernalis,Vernal hanging parrot,10.1
domicella,Purple-naped lory,26
garrulus,Chattering lory,26.6
lory,Black-capped lory,18.5
undulatus,Budgerigar,21
monachus,Monk parakeet,22.1
nenday,Nanday parakeet,18.7
chrysogaster,Orange-bellied parakeet,unknown
chrysostoma,Blue-winged parrot,21
elegans,Elegant parrot,unknown
pulchella,Turquoise parrot,21
splendida,Scarlet-chested parrot,14
bourkii,Bourke's parrot,12.6
meridionalis,Kaka,unknown
notabilis,Kea,47
haematogaster,Bluebonnet,15.3
hollandicus,Cockatiel,35
